OBJECTID,TA2022_V1_00,TA2022_V1_00_NAME,TA2022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length,Shape_Area
26,34,Stratford District,Stratford District,2163.425453,2163.425453,410331.4326,2163423989
27,35,South Taranaki District,South Taranaki District,3575.08419,3575.08419,374642.7727,3575083635
28,36,Ruapehu District,Ruapehu District,6734.414912,6734.414912,645990.2972,6734418277
29,37,Whanganui District,Whanganui District,2373.273313,2373.273313,426906.0941,2373277262
30,38,Rangitikei District,Rangitikei District,4483.912258,4483.912258,642172.4044,4483911632
31,39,Manawatu District,Manawatu District,2566.586466,2566.586466,334958.9551,2566585323
32,40,Palmerston North City,Palmerston North City,394.7430759,394.7430759,108520.8201,394740682.8
33,41,Tararua District,Tararua District,4364.650693,4364.650693,421649.8166,4364615953
34,42,Horowhenua District,Horowhenua District,1063.906149,1063.906149,161936.328,1063907008
35,43,Kapiti Coast District,Kapiti Coast District,731.5200783,731.5200783,185883.9849,731519973
36,44,Porirua City,Porirua City,174.8018621,182.473417,89352.69228,182475132.4
37,45,Upper Hutt City,Upper Hutt City,539.876103,539.876103,128079.8164,539875531.7
38,46,Lower Hutt City,Lower Hutt City,376.4035718,376.5318408,128655.8658,376531705.7
39,47,Wellington City,Wellington City,289.9100455,290.0462303,130606.2996,290045253
40,48,Masterton District,Masterton District,2300.168286,2300.168286,332415.9114,2300206715
41,49,Carterton District,Carterton District,1179.910165,1179.910165,321991.5416,1179909345
42,50,South Wairarapa District,South Wairarapa District,2387.754479,2457.84247,320014.3239,2457843610
43,51,Tasman District,Tasman District,9616.361874,14800.2563,759488.9868,14800254978
44,52,Nelson City,Nelson City,422.1936008,447.2115423,133821.5496,447212319.4
45,53,Marlborough District,Marlborough District,10457.792,12484.58989,694849.2272,12484596316
46,54,Kaikoura District,Kaikoura District,2046.807923,2046.807923,314042.6882,2046808394
47,55,Buller District,Buller District,7943.3523,7949.706616,747006.2671,7949709573
48,56,Grey District,Grey District,3474.44231,3515.587014,348190.1022,3515590982
49,57,Westland District,Westland District,11827.85898,11889.07438,1003231.457,11889070623
50,58,Hurunui District,Hurunui District,8640.963679,8654.50141,579119.0216,8654499394
51,59,Waimakariri District,Waimakariri District,2217.12453,2217.12453,266336.5632,2217126796
52,60,Christchurch City,Christchurch City,1415.469373,1608.602117,323655.6391,1608603938
53,62,Selwyn District,Selwyn District,6381.147873,6552.886487,515525.0386,6552886418
54,63,Ashburton District,Ashburton District,6181.450937,6189.514871,419614.521,6189512713
55,64,Timaru District,Timaru District,2732.406422,2733.032657,443913.3569,2733034503
56,65,Mackenzie District,Mackenzie District,7138.590553,7442.372256,539496.756,7442372692
57,66,Waimate District,Waimate District,3554.44645,3583.061737,287842.2786,3583062342
58,67,Chatham Islands Territory,Chatham Islands Territory,793.874747,13577.68922,496342.7482,13577688659
59,68,Waitaki District,Waitaki District,7107.943203,7216.758242,736881.1551,7216757227
60,69,Central Otago District,Central Otago District,9933.326702,9968.354664,633802.7582,9968355738
61,70,Queenstown-Lakes District,Queenstown-Lakes District,8719.70387,9375.193509,603503.6028,9375193113
62,71,Dunedin City,Dunedin City,3286.272551,3350.435563,437444.8502,3350435280
63,72,Clutha District,Clutha District,6334.474345,6369.504078,586079.2204,6369507614
64,73,Southland District,Southland District,29574.53477,31084.45962,2400914.837,31084455491
65,74,Gore District,Gore District,1253.854773,1253.854773,234515.9115,1253847616
66,75,Invercargill City,Invercargill City,389.8793556,495.32618,128166.8238,495328188.2
67,76,Auckland,Auckland,4941.127913,16156.20627,660973.433,16156208405
68,999,Area Outside Territorial Authority,Area Outside Territorial Authority,30.05800846,127022.927,13543698.18,1.27E+11
